WKT,fid,gid,bladnr,lo_x,lo_y,has_data,has_data_05m_dsm,has_data_05m_dtm,has_data_5m_dsm,has_data_5m_dtm,has_data_laz,fuuid,size_in_bytes,point_count,partition_id
"POLYGON ((200000 618750,200000 612500,205000 612500,205000 618750,200000 618750))","1","1",02ez1,"200000","612500","1","1","1","1","1","1",ahn3_bladindex.36930014-74cd-44be-9c97-b072edaa974c,"17131356","4106615","11"
"POLYGON ((205000 618750,205000 612500,210000 612500,210000 618750,205000 618750))","2","2",02ez2,"205000","612500","1","1","1","1","1","1",ahn3_bladindex.fd30270b-143f-4c15-b010-63ea1ff34f5d,"185800836","45535771","11"
"POLYGON ((210000 618750,210000 612500,215000 612500,215000 618750,210000 618750))","3","3",02fz1,"210000","612500","1","1","1","1","1","1",ahn3_bladindex.2c128882-d7d1-4d0d-83a1-74338009df0f,"260261417","67380009","11"
"POLYGON ((215000 618750,215000 612500,220000 612500,220000 618750,215000 618750))","4","4",02fz2,"215000","612500","1","1","1","1","1","1",ahn3_bladindex.e1ef2c20-e53c-4dea-8af8-f5b3e668879b,"297197094","85067248","11"
"POLYGON ((160000 612500,160000 606250,165000 606250,165000 612500,160000 612500))","5","5",01gn1,"160000","606250","1","1","1","1","1","1",ahn3_bladindex.bbca3ae2-d15c-4e79-8cbb-07ba6405f414,"86000640","21611535","9"
"POLYGON ((230000 606250,230000 600000,235000 600000,235000 606250,230000 606250))","6","39",03dz1,"230000","600000","1","1","1","1","1","1",ahn3_bladindex.6718ead4-b322-4b52-8238-a6ad098e2608,"1444449707","385350127","10"
"POLYGON ((165000 612500,165000 606250,170000 606250,170000 612500,165000 612500))","7","6",01gn2,"165000","606250","1","1","1","1","1","1",ahn3_bladindex.49f7cd2c-fa7a-485d-bd71-48af43c479cd,"15941463","3516323","9"
"POLYGON ((170000 612500,170000 606250,175000 606250,175000 612500,170000 612500))","8","7",01hn1,"170000","606250","1","1","1","1","1","1",ahn3_bladindex.94d68021-298e-41da-a78a-c8353325db8b,"862615930","193937761","9"
"POLYGON ((175000 612500,175000 606250,180000 606250,180000 612500,175000 612500))","9","8",01hn2,"175000","606250","1","1","1","1","1","1",ahn3_bladindex.1b5954fd-306e-4f1f-bb4f-46384ef89b0c,"670642193","151325974","9"
"POLYGON ((180000 612500,180000 606250,185000 606250,185000 612500,180000 612500))","10","9",02cn1,"180000","606250","1","1","1","1","1","1",ahn3_bladindex.3d1e3876-a98c-4040-bcb1-ee1fd92a9e0a,"614938704","135720631","9"
"POLYGON ((185000 612500,185000 606250,190000 606250,190000 612500,185000 612500))","11","10",02cn2,"185000","606250","1","1","1","1","1","1",ahn3_bladindex.03e451a4-bbf4-480a-a8d7-9b43bcc93e7d,"431301846","105119504","9"
"POLYGON ((190000 612500,190000 606250,195000 606250,195000 612500,190000 612500))","12","11",02dn1,"190000","606250","1","1","1","1","1","1",ahn3_bladindex.5d035f50-0957-43ab-8b11-4095a6fcf387,"225399573","59852116","11"
"POLYGON ((200000 612500,200000 606250,205000 606250,205000 612500,200000 612500))","13","12",02gn1,"200000","606250","1","1","1","1","1","1",ahn3_bladindex.c7a3b9f7-0f11-4f1e-bfd9-75635c10269a,"303304383","85194977","11"
"POLYGON ((205000 612500,205000 606250,210000 606250,210000 612500,205000 612500))","14","13",02gn2,"205000","606250","1","1","1","1","1","1",ahn3_bladindex.5b538a7d-741b-443c-b972-b4c4cff14924,"1273723542","256850509","11"
"POLYGON ((210000 612500,210000 606250,215000 606250,215000 612500,210000 612500))","15","14",02hn1,"210000","606250","1","1","1","1","1","1",ahn3_bladindex.eb8f5f42-96cc-4fa2-b642-abdeb2a8d91a,"295655986","73938585","11"
"POLYGON ((215000 612500,215000 606250,220000 606250,220000 612500,215000 612500))","16","15",02hn2,"215000","606250","1","1","1","1","1","1",ahn3_bladindex.5625affc-4d34-4001-ad24-6a47eee1dc08,"8074075","2262951","11"
"POLYGON ((230000 612500,230000 606250,235000 606250,235000 612500,230000 612500))","17","16",03dn1,"230000","606250","1","1","1","1","1","1",ahn3_bladindex.a1da484e-8c7d-466e-a215-c434397b8164,"72897837","20765181","11"
"POLYGON ((235000 612500,235000 606250,240000 606250,240000 612500,235000 612500))","18","17",03dn2,"235000","606250","1","1","1","1","1","1",ahn3_bladindex.4a77df71-b3db-41a4-80c7-61a70546f9b5,"397644156","110057958","11"
"POLYGON ((240000 612500,240000 606250,245000 606250,245000 612500,240000 612500))","19","18",03gn1,"240000","606250","1","1","1","1","1","1",ahn3_bladindex.85d4274d-7c20-447d-8f88-06993afca9ac,"748853103","203352550","1"
"POLYGON ((245000 612500,245000 606250,250000 606250,250000 612500,245000 612500))","20","19",03gn2,"245000","606250","1","1","1","1","1","1",ahn3_bladindex.67c80307-f1f3-428a-bd31-5b23dd8f949b,"819906210","224471148","1"
"POLYGON ((250000 612500,250000 606250,255000 606250,255000 612500,250000 612500))","21","20",03hn1,"250000","606250","1","1","1","1","1","1",ahn3_bladindex.bec62534-f487-4298-923d-de67e88949f4,"549277702","137134920","1"
